Time,P_Ste_S.y,stePre.y[1]
8891100,900422.25,901307
8891852,900415.3,900068.9
8892000,900413.94,899826
8892000,900413.94,899826
8892715,900414.4,899995.94
8892900,900414.5,900040
8892900,900414.5,900040
8893577,900348.56,897347.06
8893800,900326.6,896459
8893800,900326.6,896459
8894439,900348,897114.3
8894700,900357.25,897382
8894700,900357.25,897382
8895301,900463.1,898804.2
8895600,900516.6,899511
8895600,900516.6,899511
8896163,900454.56,897427.7
8896500,900416.4,896183
8896500,900416.4,896183
8897026,900408,900452.06
8897400,900402.44,903493
8897400,900402.44,903493
8897888,900427.3,901534.2
8898300,900448.8,899879
8898300,900448.8,899879
8898750,900420.25,899676
8899200,900390.9,899473
8899200,900390.9,899473
8899612,900380.8,901004.56
8900100,900369.4,902817
8900100,900369.4,902817
8900474,900391.44,900524.44
8901000,900423.44,897306
8901000,900423.44,897306
8901337,900394.25,899058.56
8901900,900343.75,901992
8901900,900343.75,901992
8902199,900352.2,901508.6
8902800,900371.1,900536
8902800,900371.1,900536
8903061,900396.4,901364.5
8903700,900459.56,903393
8903700,900459.56,903393
8903923,900466.06,902848.6
8904600,900484.25,901198
8904600,900484.25,901198
8904785,900470.4,901390.4
8905500,900413.7,902132
8905500,900413.7,902132
8905648,900417.6,901736.94
8906400,900441.75,899723
8906400,900441.75,899723
8906510,900433.4,899484.5
8907300,900367.6,897768
8907300,900367.6,897768
8907372,900367.5,897817.25
8908200,900374.06,898384
8908200,900374.06,898384
8908234,900379,898221.75
8909096,900535.7,894132.06
8909100,900536.3,894115
8909100,900536.3,894115
8909959,900356.2,894821.94
8910000,900347.44,894856
8910000,900347.44,894856
8910821,900396.9,892720.1
8910900,900401.8,892514
8910900,900401.8,892514
8911683,900414.94,900044.75
8911800,900416.8,901170
8911800,900416.8,901170
8912545,900310.4,896908.3
8912700,900288.2,896023
8912700,900288.2,896023
8913407,900349.6,900625.8
8913600,900366.94,901879
8913600,900366.94,901879
8914270,900391.25,898539.94
8914500,900399.56,897391
8914500,900399.56,897391
8915132,900392.3,898809.75
8915400,900389.1,899412
8915400,900389.1,899412
8915994,900373.56,902519.25
8916300,900365.56,904120
8916300,900365.56,904120
8916856,900339.56,901488.56
8917200,900323.4,899862
8917200,900323.4,899862
8917718,900430.8,896535.6
8918100,900512.2,894087
8918100,900512.2,894087
8918581,900422.7,894813.75
8919000,900342.5,895448
8919000,900342.5,895448
8919443,900366.8,895564.6
8919900,900393.94,895685
8919900,900393.94,895685
8920305,900377.75,901807.25
8920800,900357.2,909290
8920800,900357.2,909290
8921167,900323.94,907601.7
8921700,900275.2,905152
8921700,900275.2,905152
8922029,900360.2,901465.6
8922600,900513.5,895080
8922600,900513.5,895080
8922892,900428.56,896804
8923500,900245.25,900401
8923500,900245.25,900401
8923754,900294.9,900865.75
8924400,900431.44,902049
8924400,900431.44,902049
8924616,900416.06,900892.94
8925300,900360.75,897232
8925300,900360.75,897232
8925478,900352.9,896932.25
8926200,900322.8,895718
8926200,900322.8,895718
8926340,900337.9,896431.9
8927100,900425.44,900294
8927100,900425.44,900294
8927203,900417,900386.56
8928000,900340.8,901106
8928000,900340.8,901106
8928065,900339.7,901115.4
8928900,900332,901236
8928900,900332,901236
8928927,900331.75,901280.5
8929789,900323.25,902701.2
8929800,900323.1,902719
8929800,900323.1,902719
8930651,900369.44,900227.25
8930700,900372.06,900085
8930700,900372.06,900085
8931514,900053.1,902369.44
8931600,900019.5,902612
8931600,900019.5,902612
8932376,900481.1,901421.56
8932500,900557.94,901231
8932500,900557.94,901231
8933238,900404.3,902171.56
8933400,900369.75,902378
8933400,900369.75,902378
8934100,899370,888281.44
8934300,899102.6,884259
8934300,899102.6,884259
8934962,898865.75,887182.4
8935200,898784.5,888231
8935200,898784.5,888231
8935825,898752.5,896270.3
8936100,898739.1,899815
8936100,898739.1,899815
8936687,898789.06,895773.9
8937000,898816.25,893617
8937000,898816.25,893617
8937549,898759.94,895473.8
8937900,898723.44,896661
8937900,898723.44,896661
8938411,898753.4,900242.25
8938800,898776.9,902966
8938800,898776.9,902966
8939273,898818.8,905902.7
8939700,898856.94,908549
8939700,898856.94,908549
8940136,898827.2,905184.25
8940600,898794.75,901597
8940600,898794.75,901597
8940998,898799.3,898400
8941500,898805.6,894364
8941500,898805.6,894364
8941860,898781.9,894940.8
8942400,898745.75,895806
8942400,898745.75,895806
8942722,898746.1,898020.94
8943300,898747.44,901993
8943300,898747.44,901993
8943584,898769,899342.4
8944200,898816.6,893605
8944200,898816.6,893605
8944447,898807.1,891827.8
8945100,898780.44,887119
8945100,898780.44,887119
8945309,898773.94,888724.9
8946000,898752.9,894041
8946000,898752.9,894041
8946171,898761.4,894797
8946900,898799.2,898020
8946900,898799.2,898020
8947033,898790.8,898047.25
8947800,898739.2,898204
8947800,898739.2,898204
8947895,898736.9,898578.2
8948700,898719.9,901734
8948700,898719.9,901734
8948758,898725.7,902062.3
8949600,898822.25,906864
8949600,898822.25,906864
8949620,898812.25,906636.1
8950482,898218.94,896713.2
8950500,898207.1,896506
8950500,898207.1,896506
8951344,898078.9,895564.25
8951400,898070.6,895502
8951400,898070.6,895502
8952206,898033.75,890686
8952300,898029.6,890127
8952300,898029.6,890127
8953069,897834,900299.9
8953200,897801.2,902039
8953200,897801.2,902039
8953931,897840.1,902540.8
8954100,897849.5,902657
8954100,897849.5,902657
8954793,898504.5,886012.7
8955000,898716.1,881041
8955000,898716.1,881041
8955655,898897.56,881521.5
8955900,898965.2,881701
8955900,898965.2,881701
8956517,899225.5,899344.25
8956800,899347.9,907420
8956800,899347.9,907420
8957380,899275,903673.2
8957700,899233.25,901602
8957700,899233.25,901602
8958242,899224.9,900702.6
8958600,899219.9,900108
8958600,899219.9,900108
8959104,899293.4,897376.9
8959500,899352.4,895231
8959500,899352.4,895231
8959966,899306.44,896097.1
8960400,899262.7,896903
8960400,899262.7,896903
8960828,899259.9,898097.75
8961300,899257.4,899413
8961300,899257.4,899413
8961691,899293.4,897715.2
8962200,899341.25,895501
8962200,899341.25,895501
8962553,899308.1,895598.6
8963100,899255.44,895750
8963100,899255.44,895750
8963415,899266.44,896849
8964000,899288.06,898890
8964000,899288.06,898890
8964277,899289.94,898378.1
8964900,899293.7,897228
8964900,899293.7,897228
8965139,899335.5,897136.5
8965800,899454.44,896884
8965800,899454.44,896884
8966002,899412.2,896738.2
8966700,899260,896233
8966700,899260,896233
8966864,899257.6,896523.1
8967600,899252.2,897827
8967600,899252.2,897827
8967726,899262.25,897649.5
8968500,899327.2,896559
8968500,899327.2,896559
8968588,899320.06,896585.06
8969400,899245.94,896825
8969400,899245.94,896825
8969450,899247.75,896806.25
8970300,899290.3,896490
8970300,899290.3,896490
8970313,899290.3,896521.1
8971175,899261.3,898650.75
8971200,899260.44,898713
8971200,899260.44,898713
8972037,899298.25,896688.4
8972100,899301.1,896536
8972100,899301.1,896536
8972899,899318.9,895640.9
8973000,899321.1,895528
8973000,899321.1,895528
8973761,899279.6,896627.8
8973900,899272,896828
8973900,899272,896828
8974624,899340.1,897669
8974800,899357,897874
8974800,899357,897874
8975486,899269.7,897821.44
8975700,899242.2,897805
8975700,899242.2,897805
8976348,899266.8,899596.4
8976600,899276.75,900293
8976600,899276.75,900293
8977210,899276.9,896709.75
8977500,899276.9,895008
8977500,899276.9,895008
8978072,899302,894618.1
8978400,899316.6,894395
8978400,899316.6,894395
8978935,899269.6,896166.3
8979300,899237.1,897377
8979300,899237.1,897377
8979797,899281.44,897056.8
8980200,899318.3,896797
8980200,899318.3,896797
8980659,899316.25,899000.2
8981100,899313.75,901117
