Time,Qboi_S.y,MeaData.y[1],T_exh_S.y,MeaData.y[3],boi.VLiq,boi.V,mFueFlo_S.y,MeaData.y[2],T_Ste_S.y,MeaData.y[4],boi.furHeaBal.eta_boi,boi.furHeaBal.per_exh
8725500,4226990.5,4277623,491.78296,492,25.371843,50,0.10242412,0.10404,448.40747,452.3,0.83657914,0.05383736
8726310,4202397,4251209,491.7647,491.91,25.37321,50,0.101790674,0.104049,448.40588,452.39,0.83657914,0.05383736
8726400,4199664.5,4248274,491.76474,491.9,25.373728,50,0.10172029,0.10405,448.40567,452.4,0.83657914,0.05383736
8726400,4199664.5,4248274,491.76474,491.9,25.373728,50,0.10172029,0.10405,448.40567,452.4,0.83657914,0.05383736
8727172,4213062,4262759,491.77972,492.1574,25.378286,50,0.10206537,0.10399852,448.40643,452.4,0.83657914,0.05383736
8727300,4215279,4265156,491.7797,492.2,25.378988,50,0.10212248,0.10399,448.4066,452.4,0.83657914,0.05383736
8727300,4215279,4265156,491.7797,492.2,25.378988,50,0.10212248,0.10399,448.4066,452.4,0.83657914,0.05383736
8728034,4193430.8,4241480.5,491.79013,491.9552,25.385904,50,0.10155841,0.1040308,448.40512,452.3184,0.8365901,0.053826377
8728200,4188508,4236142,491.79858,491.9,25.388304,50,0.10143122,0.10404,448.40472,452.3,0.8365934,0.053823084
8728200,4188508,4236142,491.79858,491.9,25.388304,50,0.10143122,0.10404,448.40472,452.3,0.8365934,0.053823084
8728897,4205454.5,4254562.5,491.73514,491.9,25.39719,50,0.10187222,0.10404774,448.4058,452.3,0.83655626,0.053860232
8729100,4210377.5,4259941,491.69385,491.9,25.399025,50,0.10200099,0.10405,448.40616,452.3,0.83654016,0.053876363
8729100,4210377.5,4259941,491.69385,491.9,25.399025,50,0.10200099,0.10405,448.40616,452.3,0.83654016,0.053876363
8729759,4210396,4259947,491.67822,492.1196,25.405245,50,0.10200099,0.10403536,448.40628,452.2268,0.8365441,0.05387241
8730000,4210440,4259949,491.70145,492.2,25.407976,50,0.10200099,0.10403,448.40625,452.2,0.83655334,0.053863175
8730000,4210440,4259949,491.70145,492.2,25.407976,50,0.10200099,0.10403,448.40625,452.2,0.83655334,0.053863175
8730621,4207669,4256985.5,491.72485,492.131,25.412601,50,0.10192872,0.1039955,448.40616,452.062,0.83656067,0.053855814
8730900,4206409.5,4255654,491.72568,492.1,25.412857,50,0.10189625,0.10398,448.4061,452,0.8365609,0.053855598
8730900,4206409.5,4255654,491.72568,492.1,25.412857,50,0.10189625,0.10398,448.4061,452,0.8365609,0.053855598
